ElementID,ElementName,Description,Creation,SocialInteraction,Valuation,Decision,Automated,Type
4.A.1.a.1,Getting Information,"Observing, receiving, and otherwise obtaining information from all relevant sources.",0,0,0,0,1,Information Input
4.A.1.a.2,"Monitor Processes, Materials, or Surroundings","Monitoring and reviewing information from materials, events, or the environment, to detect or assess problems.",0,0,0,0,1,Information Input
4.A.1.b.1,"Identifying Objects, Actions, and Events","Identifying information by categorizing, estimating, recognizing differences or similarities, and detecting changes in circumstances or events.",0,0,0,0,1,Information Input
4.A.1.b.2,"Inspecting Equipment, Structures, or Material","Inspecting equipment, structures, or materials to identify the cause of errors or other problems or defects.",0,0,0,0,1,Information Input
4.A.1.b.3,"Estimating the Quantifiable Characteristics of Products, Events, or Information","Estimating sizes, distances, and quantities; or determining time, costs, resources, or materials needed to perform a work activity.",0,0,0,0,1,Information Input
4.A.2.a.1,"Judging the Qualities of Things, Services, or People","Assessing the value, importance, or quality of things or people.",0,0,1,0,0,Information and Data Processing
4.A.2.a.2,Processing Information,"Compiling, coding, categorizing, calculating, tabulating, auditing, or verifying information or data.",0,0,0,0,1,Information and Data Processing
4.A.2.a.3,Evaluating Information to Determine Compliance with Standards,"Using relevant information and individual judgment to determine whether events or processes comply with laws, regulations, or standards.",0,0,1,0,0,Information and Data Processing
4.A.2.a.4,Analyzing Data or Information,"Identifying the underlying principles, reasons, or facts of information by breaking down information or data into separate parts.",0,0,0,0,1,Information and Data Processing
4.A.2.b.1,Making Decisions and Solving Problems,Analyzing information and evaluating results to choose the best solution and solve problems.,0,0,1,0,0,Reasoning and Decision Making
4.A.2.b.2,Thinking Creatively,"Developing, designing, or creating new applications, ideas, relationships, systems, or products, including artistic contributions.",1,0,0,0,0,Reasoning and Decision Making
4.A.2.b.3,Updating and Using Relevant Knowledge,Keeping up-to-date technically and applying new knowledge to your job.,0,0,0,0,1,Reasoning and Decision Making
4.A.2.b.4,Developing Objectives and Strategies,Establishing long-range objectives and specifying the strategies and actions to achieve them.,0,0,0,1,0,Reasoning and Decision Making
4.A.2.b.5,Scheduling Work and Activities,"Scheduling events, programs, and activities, as well as the work of others.",0,0,0,0,1,Reasoning and Decision Making
4.A.2.b.6,"Organizing, Planning, and Prioritizing Work","Developing specific goals and plans to prioritize, organize, and accomplish your work.",0,0,0,1,0,Reasoning and Decision Making
4.A.3.a.1,Performing General Physical Activities,"Performing physical activities that require considerable use of your arms and legs and moving your whole body, such as climbing, lifting, balancing, walking, stooping, and handling of materials.",0,0,0,0,1,Performing Physical and Manual Work Activities
4.A.3.a.2,Handling and Moving Objects,"Using hands and arms in handling, installing, positioning, and moving materials, and manipulating things.",0,0,0,0,1,Performing Physical and Manual Work Activities
4.A.3.a.3,Controlling Machines and Processes,Using either control mechanisms or direct physical activity to operate machines or processes (not including computers or vehicles).,0,0,0,0,1,Performing Physical and Manual Work Activities
4.A.3.a.4,"Operating Vehicles, Mechanized Devices, or Equipment","Running, maneuvering, navigating, or driving vehicles or mechanized equipment, such as forklifts, passenger vehicles, aircraft, or water craft.",0,0,0,0,1,Performing Physical and Manual Work Activities
4.A.3.b.1,Interacting With Computers,"Using computers and computer systems (including hardware and software) to program, write software, set up functions, enter data, or process information.",0,0,0,1,0,Performing Complex and Technical Activities
4.A.3.b.2,"Drafting, Laying Out, and Specifying Technical Devices, Parts, and Equipment","Providing documentation, detailed instructions, drawings, or specifications to tell others about how devices, parts, equipment, or structures are to be fabricated, constructed, assembled, modified, maintained, or used.",0,0,1,0,0,Performing Complex and Technical Activities
4.A.3.b.4,Repairing and Maintaining Mechanical Equipment,"Servicing, repairing, adjusting, and testing machines, devices, moving parts, and equipment that operate primarily on the basis of mechanical (not electronic) principles.",0,0,0,0,1,Performing Complex and Technical Activities
4.A.3.b.5,Repairing and Maintaining Electronic Equipment,"Servicing, repairing, calibrating, regulating, fine-tuning, or testing machines, devices, and equipment that operate primarily on the basis of electrical or electronic (not mechanical) principles.",0,0,0,0,1,Performing Complex and Technical Activities
4.A.3.b.6,Documenting/Recording Information,"Entering, transcribing, recording, storing, or maintaining information in written or electronic/magnetic form.",0,0,0,0,1,Performing Complex and Technical Activities
4.A.4.a.1,Interpreting the Meaning of Information for Others,Translating or explaining what information means and how it can be used.,0,1,0,0,0,Communicating and Interacting
4.A.4.a.2,"Communicating with Supervisors, Peers, or Subordinates","Providing information to supervisors, co-workers, and subordinates by telephone, in written form, e-mail, or in person.",0,1,0,0,0,Communicating and Interacting
4.A.4.a.3,Communicating with Persons Outside Organization,"Communicating with people outside the organization, representing the organization to customers, the public, government, and other external sources. This information can be exchanged in person, in writing, or by telephone or e-mail.",0,1,0,0,0,Communicating and Interacting
4.A.4.a.4,Establishing and Maintaining Interpersonal Relationships,"Developing constructive and cooperative working relationships with others, and maintaining them over time.",0,1,0,0,0,Communicating and Interacting
4.A.4.a.5,Assisting and Caring for Others,"Providing personal assistance, medical attention, emotional support, or other personal care to others such as coworkers, customers, or patients.",0,1,0,0,0,Communicating and Interacting
4.A.4.a.6,Selling or Influencing Others,Convincing others to buy merchandise/goods or to otherwise change their minds or actions.,0,1,0,0,0,Communicating and Interacting
4.A.4.a.7,Resolving Conflicts and Negotiating with Others,"Handling complaints, settling disputes, and resolving grievances and conflicts, or otherwise negotiating with others.",0,1,0,0,0,Communicating and Interacting
4.A.4.a.8,Performing for or Working Directly with the Public,"Performing for people or dealing directly with the public. This includes serving customers in restaurants and stores, and receiving clients or guests.",0,0,0,0,1,Communicating and Interacting
4.A.4.b.1,Coordinating the Work and Activities of Others,Getting members of a group to work together to accomplish tasks.,0,1,0,0,0,"Coordinating, Developing, Managing, and Advising"
4.A.4.b.2,Developing and Building Teams,"Encouraging and building mutual trust, respect, and cooperation among team members.",0,1,0,0,0,"Coordinating, Developing, Managing, and Advising"
4.A.4.b.3,Training and Teaching Others,"Identifying the educational needs of others, developing formal educational or training programs or classes, and teaching or instructing others.",0,0,0,0,1,"Coordinating, Developing, Managing, and Advising"
4.A.4.b.4,"Guiding, Directing, and Motivating Subordinates","Providing guidance and direction to subordinates, including setting performance standards and monitoring performance.",0,0,0,1,0,"Coordinating, Developing, Managing, and Advising"
4.A.4.b.5,Coaching and Developing Others,"Identifying the developmental needs of others and coaching, mentoring, or otherwise helping others to improve their knowledge or skills.",0,0,1,0,0,"Coordinating, Developing, Managing, and Advising"
4.A.4.b.6,Provide Consultation and Advice to Others,"Providing guidance and expert advice to management or other groups on technical, systems-, or process-related topics.",0,0,1,0,0,"Coordinating, Developing, Managing, and Advising"
4.A.4.c.1,Performing Administrative Activities,Performing day-to-day administrative tasks such as maintaining information files and processing paperwork.,0,0,0,0,1,Administering
4.A.4.c.2,Staffing Organizational Units,"Recruiting, interviewing, selecting, hiring, and promoting employees in an organization.",0,0,0,1,0,Administering
4.A.4.c.3,Monitoring and Controlling Resources,Monitoring and controlling resources and overseeing the spending of money.,0,0,0,0,1,Administering
